date,open,high,low,close,Volume,K,D
11/22/2017,8095.19,8310.89,8045.76,8214.69,8078.580801,84.72214409,78.82699674
11/23/2017,8214.69,8279.76,7980,7989,7811.7934,82.97412393,82.21564334
11/24/2017,7988.96,8340,7876,8199.19,9289.989257,86.72459409,84.80695404
11/25/2017,8199.83,8737,8114.78,8717.99,11611.66638,88.39554483,86.03142095
11/26/2017,8718,9366.6,8538.2,9271.06,12021.21549,95.63723448,90.2524578
11/27/2017,9278.99,9721.7,9267,9708.07,13272.45254,100,94.6775931
11/28/2017,9708.06,9968,9582.25,9868.82,11214.92993,100,98.54574483
11/29/2017,9877.63,11395,9250,9824.68,33432.33996,97.95808394,99.31936131
11/30/2017,9833.7,10618.29,9000,9947.67,25433.45836,97.6814524,98.54651211
12/1/2017,9927.29,10949.89,9370.11,10840.45,16708.03225,97.6814524,97.77366291
12/2/2017,10840.45,11200,10637.69,10872,9267.161055,99.72336846,98.36209109
12/3/2017,10875.68,11800.01,10513.16,11250,14238.52588,100,99.13494029
12/4/2017,11250,11613.07,10850,11613.07,13621.48197,100,99.90778949
12/5/2017,11613.07,11850,11384.25,11677,11875.03378,100,100
12/6/2017,11676.99,13700,11659.8,13623.5,19784.87349,100,100
12/7/2017,13623,16615.62,13085.9,16599.99,25496.64158,100,100
12/8/2017,16599.99,16666.66,13482.42,15800,25473.25772,87.55709926,95.85236642
12/9/2017,15799.87,15998.5,12701.05,14607.49,16587.47293,54.22376593,80.59362173
12/10/2017,14601.01,15385,13011,14691,18487.98304,21.31779029,54.36621849
12/11/2017,14690.99,17270,14677.19,16470,16583.72316,8.766074216,28.10254348
12/12/2017,16470,17428.42,15967.29,16650.01,13517.8921,17.79351328,15.95912593
12/13/2017,16650.01,17107.03,15497.69,16250,17136.70586,20.49224324,15.68394358
12/14/2017,16245.02,16830.45,15852.69,16404.99,13409.52429,16.02054924,18.10210192
12/15/2017,16404.99,17934,16337.19,17471.5,18998.38814,15.59972924,17.37084058
12/16/2017,17477.98,19377,17269.99,19187.78,9761.220809,27.05595954,19.55874601
12/17/2017,19187.78,19666,18465,18953,9749.249155,34.38924916,25.68164598
12/18/2017,18953,19220,17835.2,18940.57,14678.94145,36.795167,32.7467919
12/19/2017,18940.58,19160.79,16831.26,17700,21528.13767,22.21284904,31.13242174
12/20/2017,17700,17950,15343.04,16466.98,31172.22881,11.0125369,23.34018431
12/21/2017,16466.98,17281.17,15005,15600.01,20377.86044,0,11.07512865
12/22/2017,15600,15795.61,11159.93,14009.79,57444.8858,-2.37E-15,3.670845633
12/23/2017,13980,15756.22,13496.48,14619,21786.30866,2.815062632,0.938354211
12/24/2017,14619,14619.1,12488,14157.87,18518.58538,3.490876212,2.101979615
12/25/2017,14107.87,14650,13210,13911.28,11564.54433,3.490876212,3.265605019
12/26/2017,13925.5,16147.87,13746.95,15764.44,15051.16402,8.951227556,5.310993327
